"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Urban Ladder Validation","1","0","Verify bookshelves under price limit","0"
"0","","0","Urban Ladder Validation","1","0","Verify sofa categories","0"
"0","","0","Urban Ladder Validation","1","0","Verify gift card invalid email","0"
